,GDP per capita,happiness
Belgium,133.0,6.864
Bulgaria,28.2,5.102
Czech Republic,67.4,6.911
Denmark,172.5,7.646
Germany,133.2,7.076
Estonia,68.1,6.022
Ireland,231.9,7.094
Greece,54.9,5.515
Spain,84.8,6.401
France,115.4,6.664
Croatia,42.8,5.505
Italy,95.2,6.387
Cyprus,81.2,6.159
Lithuania,56.0,6.215
Luxembourg,327.9,7.238
Hungary,48.0,6.0
Malta,85.6,6.773
Netherlands,149.9,7.449
Austria,143.7,7.294
Poland,44.5,6.186
Portugal,66.5,5.911
Romania,37.0,6.124
Slovenia,74.3,6.363
Slovakia,55.2,6.281
Finland,139.8,7.809
Sweden,148.1,7.353
Great Britain,121.2,7.165
Iceland,195.7,7.504
Norway,217.3,7.488
Switzerland,244.5,7.56
Montenegro,25.5,5.546
Albania,15.3,4.883
Serbia,21.2,5.778
Turkey,26.4,5.132
Latvia,,5.95
